pr_id	field	soulcap_value	status	pr_label	pr_synonyms	suggestions
pr:000002238	name	immunoglobulin heavy constant delta	unmatched	tyrosine-protein kinase ITK/TSK isoform 1	ITK/iso:1	PR:000008957 (immunoglobulin heavy constant delta) [q=immunoglobulin heavy constant delta]; PR:P01880 (immunoglobulin heavy constant delta (human)) [q=immunoglobulin heavy constant delta]; PR:P01880-1 (immunoglobulin heavy constant delta isoform h1 (human)) [q=immunoglobulin heavy constant delta]; PR:P01880-2 (immunoglobulin heavy constant delta isoform h2 (human)) [q=immunoglobulin heavy constant delta]; PR:000008958 (immunoglobulin heavy constant epsilon) [q=immunoglobulin heavy constant delta]
pr:000002109	symbol	IgM	unmatched	tumor necrosis factor receptor superfamily member 10B	CD262; DR5; KILLER; MK; TNF-related apoptosis-inducing ligand receptor 2; TNFRSF10B; TRAIL receptor 2; TRAIL-R2; TRAILR2; TRICK2; UNQ160/PRO186; ZTNFR9; death receptor 5	PR:000050257 (IgM heavy chain protein) [q=IgM]; PR:000007329 (immunoglobulin mu Fc receptor) [q=IgM]; PR:P01591 (immunoglobulin J chain (human)) [q=IgM]; PR:O60667 (immunoglobulin mu Fc receptor (human)) [q=IgM]; PR:000001285 (B-cell antigen receptor complex-associated protein alpha chain) [q=IgM]
pr:000002109	name	immunoglobulin heavy constant mu	unmatched	tumor necrosis factor receptor superfamily member 10B	CD262; DR5; KILLER; MK; TNF-related apoptosis-inducing ligand receptor 2; TNFRSF10B; TRAIL receptor 2; TRAIL-R2; TRAILR2; TRICK2; UNQ160/PRO186; ZTNFR9; death receptor 5	PR:000008963 (immunoglobulin heavy constant mu) [q=immunoglobulin heavy constant mu]; PR:P01871 (immunoglobulin heavy constant mu (human)) [q=immunoglobulin heavy constant mu]; PR:P01872 (immunoglobulin heavy constant mu (mouse)) [q=immunoglobulin heavy constant mu]; PR:000085501 (immunoglobulin heavy constant mu cysteinylated 1 (mouse)) [q=immunoglobulin heavy constant mu]; PR:P01871-1 (immunoglobulin heavy constant mu isoform h1 (human)) [q=immunoglobulin heavy constant mu]
pr:000002007	symbol	IgA	unmatched	H-2 class I histocompatibility antigen K1 alpha chain	H-2K; H2-K1	PR:000031945 (IgA-inducing protein) [q=IgA]; PR:000050176 (IgA heavy chain protein) [q=IgA]; PR:A6NJ69 (IgA-inducing protein homolog (human)) [q=IgA]; PR:000050594 (IgA heavy chain protein, secretory isoform) [q=IgA]; PR:000001285 (B-cell antigen receptor complex-associated protein alpha chain) [q=IgA]
pr:000002007	name	immunoglobulin heavy constant alpha 1	unmatched	H-2 class I histocompatibility antigen K1 alpha chain	H-2K; H2-K1	PR:000008955 (immunoglobulin heavy constant alpha 1) [q=immunoglobulin heavy constant alpha 1]; PR:000008956 (immunoglobulin heavy constant alpha 2) [q=immunoglobulin heavy constant alpha 1]; PR:P01876 (immunoglobulin heavy constant alpha 1 (human)) [q=immunoglobulin heavy constant alpha 1]; PR:P01877 (immunoglobulin heavy constant alpha 2 (human)) [q=immunoglobulin heavy constant alpha 1]; PR:000008957 (immunoglobulin heavy constant delta) [q=immunoglobulin heavy constant alpha 1]
pr:000002152	symbol	IgG	unmatched	DNA-binding protein Ikaros isoform 3	DNA-binding protein Ikaros isoform II; IKZF1/iso:3	PR:000050252 (IgG heavy chain protein) [q=IgG]; PR:000050295 (IgG heavy chain protein, secretory isoform) [q=IgG]; PR:000007435 (IgG receptor FcRn large subunit p51) [q=IgG]; PR:P55899 (IgG receptor FcRn large subunit p51 (human)) [q=IgG]; PR:Q61559 (IgG receptor FcRn large subunit p51 (mouse)) [q=IgG]
pr:000002152	name	immunoglobulin heavy constant gamma 1	unmatched	DNA-binding protein Ikaros isoform 3	DNA-binding protein Ikaros isoform II; IKZF1/iso:3	PR:000008959 (immunoglobulin heavy constant gamma 1) [q=immunoglobulin heavy constant gamma 1]; PR:000008960 (immunoglobulin heavy constant gamma 2) [q=immunoglobulin heavy constant gamma 1]; PR:000008961 (immunoglobulin heavy constant gamma 3) [q=immunoglobulin heavy constant gamma 1]; PR:000008962 (immunoglobulin heavy constant gamma 4) [q=immunoglobulin heavy constant gamma 1]; PR:000009184 (immunoglobulin heavy constant gamma 2B) [q=immunoglobulin heavy constant gamma 1]
pr:000001824	symbol	CD24	unmatched	NADPH oxidase 1	MOX-1; MOX1; NADH/NADPH mitogenic oxidase subunit P65-MOX; NOH-1; NOH1; NOX-1; NOX1; mitogenic oxidase 1	PR:P25063 (signal transducer CD24 (human)) [q=CD24]; PR:000001932 (signal transducer CD24) [q=CD24]; PR:Q07490 (signal transducer CD24 (rat)) [q=CD24]; PR:P24807 (signal transducer CD24 (mouse)) [q=CD24]; PR:000039124 (signal transducer CD24 isoform 1) [q=CD24]
pr:000001824	name	CD24 molecule	unmatched	NADPH oxidase 1	MOX-1; MOX1; NADH/NADPH mitogenic oxidase subunit P65-MOX; NOH-1; NOH1; NOX-1; NOX1; mitogenic oxidase 1	PR:000001932 (signal transducer CD24) [q=CD24 molecule]; PR:Q07490 (signal transducer CD24 (rat)) [q=CD24 molecule]; PR:P24807 (signal transducer CD24 (mouse)) [q=CD24 molecule]; PR:P25063 (signal transducer CD24 (human)) [q=CD24 molecule]; PR:000039124 (signal transducer CD24 isoform 1) [q=CD24 molecule]
pr:000001185	symbol	CD185	unmatched	alpha-1D adrenergic receptor	ADRA1A; ADRA1D; Gpcr8; alpha-1A adrenergic receptor; alpha-1D adrenoceptor; alpha-1D adrenoreceptor; alpha-adrenergic receptor 1a	PR:000001209 (C-X-C chemokine receptor type 5) [q=CD185]; PR:Q04683 (C-X-C chemokine receptor type 5 (mouse)) [q=CD185]; PR:P34997 (C-X-C chemokine receptor type 5 (rat)) [q=CD185]; PR:P32302 (C-X-C chemokine receptor type 5 (human)) [q=CD185]; PR:000000001 (protein) [q=CD185 protein]
pr:000001185	name	C-X-C motif chemokine receptor 5	unmatched	alpha-1D adrenergic receptor	ADRA1A; ADRA1D; Gpcr8; alpha-1A adrenergic receptor; alpha-1D adrenoceptor; alpha-1D adrenoreceptor; alpha-adrenergic receptor 1a	PR:000006071 (C-X-C motif chemokine 5) [q=C-X-C motif chemokine receptor 5]; PR:P50228 (C-X-C motif chemokine 5 (mouse)) [q=C-X-C motif chemokine receptor 5]; PR:P42830 (C-X-C motif chemokine 5 (human)) [q=C-X-C motif chemokine receptor 5]; PR:P97885 (C-X-C motif chemokine 5 (rat)) [q=C-X-C motif chemokine receptor 5]; PR:000006064 (C-X-C motif chemokine 10) [q=C-X-C motif chemokine receptor 5]
